City,Flag URL,Country,Metro URL,Name,Service opened,Last expanded,Stations,Lines,System length( km),Annual ridership (millions)
Brasília,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/188px-Flag_of_Brazil.svg.png,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Metr%C3%B4-DF_logo.jpg/150px-Metr%C3%B4-DF_logo.jpg,Federal District Metro,2001,2020,27,2,42.4,39.1
Fortaleza,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/188px-Flag_of_Brazil.svg.png,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Logo_Metrofor.svg/375px-Logo_Metrofor.svg.png,Fortaleza Metro,2012,2013,20,2,24.1,8.9
Porto Alegre,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/188px-Flag_of_Brazil.svg.png,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Trensurb_-_logo.png/225px-Trensurb_-_logo.png,Porto Alegre Metro,1985,2014,22,1,43.8,31.9
Recife,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/188px-Flag_of_Brazil.svg.png,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/CBTU_Logo.svg/300px-CBTU_Logo.svg.png,Recife Metro,1985,2009,28,3,39.5,93.5
Rio de Janeiro,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/188px-Flag_of_Brazil.svg.png,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Logo_MetroRio.svg/75px-Logo_MetroRio.svg.png,Rio de Janeiro Metro,1979,2016,41,3,58,118.7
Salvador,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/188px-Flag_of_Brazil.svg.png,Brazil,https://upload.wikimedia.org/wikipedia/commons/c/cc/CCR_Metr%C3%B4_Bahia.png,Salvador Metro,2014,2023,20,2,34,62
São Paulo,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/188px-Flag_of_Brazil.svg.png,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Metr%C3%B4-SP_logo.svg/375px-Metr%C3%B4-SP_logo.svg.png,São Paulo Metro,1974,2021,89,6,104.4,1196.5
Sofia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/188px-Flag_of_Bulgaria.svg.png,Bulgaria,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Sofia_Metro_Logo.svg/150px-Sofia_Metro_Logo.svg.png,Sofia Metro,1998,2021,47,4,52,92.4
Montreal,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/188px-Flag_of_Canada_%28Pantone%29.svg.png,Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Montreal_public_transit_icons_-_M%C3%A9tro.svg/150px-Montreal_public_transit_icons_-_M%C3%A9tro.svg.png,Montreal Metro,1966,2007,68,4,69.2,304
Montreal,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/188px-Flag_of_Canada_%28Pantone%29.svg.png,Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Logo_R%C3%A9seau_express_m%C3%A9tropolitain.svg/225px-Logo_R%C3%A9seau_express_m%C3%A9tropolitain.svg.png,Réseau express métropolitain,2023,–,5,1,16.6,
Toronto,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/188px-Flag_of_Canada_%28Pantone%29.svg.png,Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Logo_of_the_Toronto_Transit_Commission.svg/225px-Logo_of_the_Toronto_Transit_Commission.svg.png,Toronto subway,1954,2017,70,3,70.5,302.5
Vancouver,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/188px-Flag_of_Canada_%28Pantone%29.svg.png,Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Skytrain.svg/330px-Skytrain.svg.png,SkyTrain,1985,2024,54,3,79.6,141.3
Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/188px-Flag_of_Chile.svg.png,Chile,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Metro_de_Santiago_Logo.svg/375px-Metro_de_Santiago_Logo.svg.png,Santiago Metro,1975,2023,126,7,149,544.4
Beijing,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Beijing_Subway_simplified_logo.svg/120px-Beijing_Subway_simplified_logo.svg.png,Beijing Subway,1971,2024,414,29,861,3445.7
Changchun,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVywY0T5bEpQ3gUyixBKLglPbV_1Y52_UZyQ&s,Changchun Rail Transit,2017,2024,83,3,72.6,219.1
Changsha,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Changsha_Metro_logo.svg/120px-Changsha_Metro_logo.svg.png,Changsha Metro,2014,2024,140,6,218.28,943.9
Changzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/ChangzhouMetro.svg/120px-ChangzhouMetro.svg.png,Changzhou Metro,2019,2021,43,2,54,73.1
Chengdu,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Chengdu_Metro_icon.svg/180px-Chengdu_Metro_icon.svg.png,Chengdu Metro,2010,2024,296,13,632.84,2109.2
Chongqing,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,https://static.wikia.nocookie.net/rapidtransit/images/6/6c/Chongqing_Rail_Transit.png/revision/latest?cb=20100811231240,Chongqing Rail Transit,2004,2025,263,12,560.04,1456.94
Dalian,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAOEAAADhCAMAAAAJbSJIAAAAe1BMVEX///8AAADHx8dra2uIiIhwcHC6urqTk5OLi4vm5ub4+Pj8/PyVlZX19fXo6Ojy8vJCQkJJSUkiIiKmpqYYGBiCgoJjY2OsrKwSEhLS0tLa2tpcXFxKSkolJSUvLy80NDQ8PDyenp55eXnKysq0tLS+vr5TU1McHBwNDQ3nhJRjAAAJzUlEQVR4nNWdWWPiOgyFC2VNSsLSBShbaCn8/194y7S9Uxg7OpItOXwP8zYph2BrtXx3p0+elYvebFYN9pPWmcfdc2f20l6WWW7w15Uplu+d53XLx/T1abYoUn9IMcvefnXyivvF6ukwTP1h+bSfpoi4/zl2X27nXebF7Jml7odtf3kLC3PZGYvkfbHZL1ILqKeodgHyvt9k1dyf69tHsLwvVofUUlyMZttI+s5MqzK1oCtG1WNEfWfmg0b9WB8gu8dl35T3OKo05P1h0AiN77F/nxdUWWp9i5Wmvk827aT6Rl1lfWfuR+kEvhjoO/OeSF/xaiSw1XpNEnu8m+k7U5nrK+1e4BdjYwegbazvjOmmWiUQ2Go9mOnLZQFuOB9G5n94TCTwE5P4+JBO3yczfYFWVt7Hk7bAfmKBn9ZfV+A+tb5PJoohVbJN9JKtnvGPlWkKZar1FrVDQQYqbzG39kTrOGoEG00SqPJDbcoa/GEdu8TRjF30N+O4TuogtR4HUU1/alfNTTeewBTxLkK0gHGZWomXSDWqklevNmUZRWHT7MRv1jE21CZuo3/5CBfY1F3mh+BEapFaAclboEJ2Y8V4slqtJk7GJJs5X+E0rHDDXoTBPn+56O15X+t9yJ9jW8JtqMAvigOnbNcL+EtsSxgvEzZ62cB/VR5JdbgCg77Of3hD+1fEPviCLTB2duEdTK8Lv9ic38G1ix2Wllj6UrifVmyBMeOZH7BCrGj9l3yBcZfhN0Nox5G44JI2iziu/hUlsuFM+M+VBIXT+PLOZIgHwA8VJX2wQd5FDRnwFjfcTU7UaaHW91L62/3/hxlk5LhD8Qu9rhdgzZx4FkPWLKMk78yM/uu8lygSqGAN/3JP/33OSpTlR1/U5H0yotdNH39aLsuu6TafAV4yvhJlr3Cq3O1CuyD4S5R13asuwzvEjZyjgaIwvabe6vJAfgR0JxDWQlWc0t9k5Pawwx40lAmMkn6uh7bSWGpR2DOj3MlzJiedN+hDjGQCLTrOgI4sJI0irYZatA3S2+kAeIr0+KC6vDNkO8GUdt2k5dAIRSAA2rGh9xra6LgxaqYnvdM9+Qjpj9TodCuZpH6knFNxzd5EH/IzpRI2/ET+FwbW8A8j0iRSySKhQLvDEHQkXL+b5sPCxfDM179ujOTdIY30jTwmzYAuu6v3umtD2otj6k8YCh0YqIdxytAhlGpGzAA6fLWyXGqQCtVa+a2YBCzEQ/9BRl/GrD0UlKdpt8u/EBM0c6877OaGinyoN76QFZyC4fogdLLTWxCWVO5jwKg3gB/T99t/0xfjhhc9A6kyX7AK1OiUYHkhwGLy5f3SHS6cs14ifcLM53wDxXItWL9Tesv3tUgaKPEx59RvgU4f939MeqyC4y0/0Y9zG1nbUR5XcNKtQMLTbWOlSag4MBIhgEL3Zhpz3hofRrdRRT/NnXB7a2vyRnyuTlSFO/xp8SB+W8/4kwCFSXI1hCfC6LwDFCp3vjih/GXGuV5EYYIhoT3iIwGFvx+Q8liCKW+Uq3XEFSLTR+zzbWSnyBh/FmK4mTFnBMiqGKO/GPDagEJpbMhfFsMeIlGe6wsbvvcEoKf/yJiOcZABOUXgygoj7/5fwEIPnVthGDAkJehSKEslgu+QjFu2jAAROXrtUJiLWhROYLaT/GExliGU9HREY3SB3AW6x5MPYvggUFuaS6EoHQx+9WT6YIMLxHonHUlhmULQOaqo53BcEMr/+4PjxyVTCBZWyOCaIRDr2nKchBStQ/DHRXYXsDo3oUN1rrOekkleSK/jHd0hwuvyh45KbB2PlNhDsGxEdfnwAgHok7kUSnL62HefEUucY+3R89c7x/8UzDABrSFlK3iH+padAYDLvlZ8haA1JDa/NUtgAJCZuQS0hoQfaZZwENRHsa4OIq4QnFEWwp+gsMIeTPw4QufL4PCPyoCxYf0mDX5NMRixp9+AC6j+IZbdoGy3DYsN623FTlXSFdxBH+C0napeYfdeBecmyHXbQKc05AovMe7WB+4ga2wFpRkW5va2uCYfc0rTjHB3J4SZnQpgbJimSccTrfAegi1DZGiHAp4VxDOI2DJM1MLiyS/zNlPMKa1UBJB4Pg3rYB7obaUZDeobBcTaTLHYMNPSUI9v+AHL98ac0kTXffgaATPOHX+YUyoraAXjLdUxthowbtUTUYs3Uc3w27DYsHzq6PLkouMv8zASGTd6yI/hJTfqklAGcKRjlgGMDTxJ8GbPacJtwhojIE2Abf7tnn8Dy6Q3uwxhi3izyxBOfKe6+jQGmEJrazibPrqYOzhR+SMorRJ9IDIBa+wRdc4ZCne0Z89dwUtIUoYMql4YW0NWMv5EGjIkorNthOdlqunfF7Cbclq0wmHWNYFyJJ3g1BqI7IR5/Bpp+afPyppaQ+ZYcSRPHbWdNxhuKgs6UUyOvtRW9Qtu5Qrr8KFyGYbLkH09A5hcISJ9w+Mo3Nn+6C5P5L7tlmHFFAh3cdZv0Kxj10Gwp/3Cc4TrDYaZU8ovzOEN/7XpfYtJrGeGnBrDF4ygrs4VNDq7KOjK5pzmymueY7PR5ILqOCs95l+JNmOmSsHJAbC/5xv/1GWTZkmJQG6G05sbtuglFN0Lyr521ecvGSgU3BUGzJ79B5+51Z+ILBu3LTBini4K9XUoK4xLriX01DDWYVdGUhSSozstoZX2tNeo2kPpMC7Z0W2PA67otS2FL5Dhcl/iziCojQ1ZyocaikNW95/UGQ/aDhjayJjHcIWnZ2v9Hne3ycoecJtTDQGFIm8MOulG43kFXsXpJSitkqhriwVjOpGDRAM/OTwGBjtJx9RBBB99q1IrIIjQUpBg9C6DXbhAybXAdhyjZByEN1yZECktlqiVGSBanU96u442ERuX0s3frSPM1F/RxA31I2oBRTaBSJVd5Lv6ssfUiq44Rr+MsEg4KdrBUaG1rpBdMKvDSSVblOa8qxuldFjJPrGvhF51qEg7TPmHnWL5q2yC0Rjr1vfSnJi8EKjdKcFtcYmNwWDSKqlAk6syhZdaR8FoHlGyLXVt1o6Vh6WopTzrFvYukV6LHIJVq9I3Q+v81Nr+zj/usJcw7KdXf7Kwe43rVMeOKyOBnejRLkxh4cRt0966edC2jXOjC7/95JWqwEETzuOWemXU+6Yc+y91MsavTbr2toj/HvdN0nemGPD7smvgX95pQN6L5QKsXyx9bBbLfXje+LFxP89L8rd9UHvMfa+xr+8vWVu6tXYPNyDvm0VF37x8ye7BbtxuJLJF/wMrdaw/Ou0muC4SymG7363bYTfPnZ7k5uqGkRWL3qzav+7W0/mpdZpPN9uPbn/20i4yg3Nw/wG37b5UDk1DJQAAAABJRU5ErkJggg==",Dalian Metro,2003,2023,100,6,237.7,252
Dongguan,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Dongguan_Rail_Transit_logo.svg/180px-Dongguan_Rail_Transit_logo.svg.png,Dongguan Rail Transit,2016,–,15,1,37.7,45.3
Foshan,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/FMetro.svg/150px-FMetro.svg.png,Foshan Metro,2010,2024,74,3,134.9,67.9
Fuzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Fuzhou_Metro_logo.svg/120px-Fuzhou_Metro_logo.svg.png,Fuzhou Metro,2016,2023,90,5,143.5,227.8
Guangzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Guangzhou_Metro_logo.svg/225px-Guangzhou_Metro_logo.svg.png,Guangzhou Metro,1997,2024,276,15,705.28,3128.9
Guiyang,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/GuiyangMetro.png/120px-GuiyangMetro.png,Guiyang Metro,2017,2024,82,3,149.05,133.5
Hangzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Hangzhou_Metro_logo.svg/120px-Hangzhou_Metro_logo.svg.png,Hangzhou Metro,2012,2025,254,12,516.2,1469.76
Harbin,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Harbin_Metro_logo.svg/120px-Harbin_Metro_logo.svg.png,Harbin Metro,2013,2024,78,3,91.57,281.3
Hefei,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAMwAAADACAMAAAB/Pny7AAAAkFBMVEX////XHgbXHwbVAADXGAD98/L//Pvib2n66Obwu7jhaWL99fXplZDrpaHjdXDlgoDmhHzie3n42dXusa/bQUDzzcvgXlTurKXnjozZJhPoiYLws6z77ez208/xwLz43tzeXVzYIxrdVU3aNzLZODj0yMPfYlrrnZbYLC3cVFLXIiDZLybVCgrbQDfcSUXeUUQ7bvGVAAAJx0lEQVR4nO2di5KiOhCGlW4RVBwVHVFRvAzifd7/7Q4o4ZagieDAnspftVWn1iXky6XpdDo5jYaUlJSUlJSUlJSUlJSUlJSUlJSUlJSUlJSUlFSZUt9W1TVPqquNXHNq9N6VZ5i669jVM9muYQ07x90MoYBwc123v6zpxK4MRHWM4Xo8u9cGsVlA/uNBKZvbemgsq+ghp/c93iAUo8gy+X30s7Umf4yy2p4upYIkgOA09lp/RtIyzvARkpgHBtqfoNjGDFD5FMlDis/Tdj4+e2z98yh3nKbfO073kygtd+uj/AFL89E73gcHm2Nd4G9ICM5W/5Ap6JrbPxlhScFp7nyCxbbO8DELliuEvV4+i9P5nDF+KjjMyzZr7k8F3fIQ4rZcmsUFKkIJaOBaplXzKuuWh+Aw+t+w+DS7krxP1btUzeLTjN0yWLre5jmL8nANiwlfORZwK6Fvusbp2ZcycDpgMz62h19va9hf365+Odh8xgPHZVEW1Tzns/h9ArAdGvpkZHffD2h0bWfpmlYnWFg8o+kUtWmTXa43Fji2O0sflbRwV52JscdnDhP0i3nR9jb3+6L4nTIdleoHqpprKZA72BB6hYrv57H4c+XqfiA81HXmkIfjv3NVoGgzZxD7xaL+oZWTqvUhZ2j7r31/JGj5LMNPhhyWtzxLAL9vF/rLbiF/hGXcct8iiatl39Xy/zMbou1aOS46gvEmi8FuH2y2UwumruYYg6tS4IN53nuulp6Aix0bB3/es8/aD7u4mZUwxoEBOodBzfcVFLA3UkZ+cmQOC8TBWzBzZtsgGnETqiNjC0GIo1iQI3jeB9oM9USzO202zc87bs3yxmRJDlrHu0FpYYHAnZj1zdiwaB0mDQzFzajK7hjw4n9irnM/CW/jYD/2wLQtiwZ34h+byZjJYkVjzB6eSkV58CCMp1EdRmcWDXyJfhbUHuPbr0A7mqPu8TNxJwU2g2gcuSx7imfRWTO60Y2iwC6yyYtdFlYpoHRlY/dYNVjuFPQEZ43JKAUhWu3p51STYcHlWXp6IqwJjd1ntCnuxCICTEsSt8jqkPwZ8XLa7ec9zzMSmr7QIpThDX7Pp/TeW9w3/ghhdI1YXHDCMGVwJINsmTQziIejVzCGqk76t1NyfsST3KBrkpy6HOp6dMfgzAx/1RKfM4TdsJRQg7rYnxKdAF5oNv0xQjUrNkUaT/ulS4BO2BwJQ6cg7ossMVJqGbGzrOCMmKwpI54CpsBKakKbRDyRjnGb0Y9w7pUZa1y2ozGlwDYcaK0Oa5zx2zOVMcpgHXZMKzbacDXLXaFpgzhEF62RFye6ZZF/0nRpW4YzUvY0GmR4WJW9bvZNMak5QtjpLYaTCPzz1J7RbfETzjn1Qj78eDGfF/OOWpGhVKAf/t2cMc74QxsOw4B0wt/iEVgwVpKjLkaNRbpmRJkABa/cBS7oUXYJ3T81mqI4+wCKr2U00KLWou0ZAnd5cxrmFLaSGXdMebsMaQ3JK3CXWx8FuC0AHciIym2TEQjtnIcL55lFMSE8hdN8yYDhtgDUV0aBcOXdOpAXAf0RVoOYsW5yS3eXGmNpokYdgfP8CnEbH0ZDhN95N7T5CnSyDWsvzf5Y1FveWjqdVTIidYdj+DfUklNJrnifSmPAhFOmRz5qWcfV1odBkAbF1jHBwmHrZVPMbFJ3HIfdT00aBeYNPtFDNDIenZxR5vY3wfaK8NLzznPrpQvzl2QhzCEcEFMahjfitMqFUY9klG1T1sQbv7/rGYQxjmlvdRJaGZyFg2lEw/QbfDJpmPAbpd0ITCqo0C+26en3zmGarMCIeCDEAlADX4EhJ0yPfvQ3C+PFHqb6XTy0gZdkDNkhu0JkZtjZjueHGdAw32GTjQlMYkGxLyPfIXIx7m22D2tAqtx6H4YKIijkCxnDxMZsXk6SAJ7ieRNFIMjMaGXXzvwGgNEzFEz0ZpcdXhcXHCObkoBR/wKG9IzNWKK/J7xEXnhVMGZexgN3zC9+yZa4rhXBsIJ0zTDV4Zkbw956IRatTBiG85AH454ZHeOjNL+/rBz1rOEvc/fA/xDaVcIwY8EKNK2JY+dsZPp/7JHeZnUOnt0qYewhY5TBzX0Zs7GnM9aTJj8Mr6NpccM49HaQAmuuJeiKzmNRSDC7GpglNWUUuHKuAU0qBOR7fHaFMJNmtkLY5N6ot6gdnk/AMBzNPBgqRI8d7j26UTa45ztctYLBjUAGxRCyr6kZzI9Aup6R8R4+AkOFzQVgbgLbQJOfmsOIJIdr45rD7PlZonVrbWE6T8rNqpvJmawdDG/Q5K79H/SM8TYMgiUC06k3zGX6pFxK7XrDbIT2ngf1hjkJ5ehkTkzUDkZoB2qxqTeMUFqAW2+Yg9Be+uRUbxgRloZTb5izEIx9rjWMYHb7ocYwSu4W9D8JI5i0UQCGN25WAGYhBnOtNYzgoer0PlXdYAQP7KVjp/WCafJntLDeVC8YhT/X6KFFjWEEEqce0usMI5qCtqwvjCJ8vE2rrzUTdgAarTrDCMVmAtV5mH0LstR4mCXPpHBJbdcYpomoaza3nEymSs1gFIT9kCHmnQb9XSbrpmYwwUgTyNBsZl9TI5ii581qBBOmmPCfdqQeqA8MAnY8M7icipcGsG2a1jV+oDYwCAMtyCJvMVMvGEIYPh7Qo+yGusDEGUmNZf4VIimWKMvaIevNimGiDI1ksGT14tKdxwNfcexzciWlCiQ1lA/jhIf2cZxYL3e/XicHpk9b9x51VcDiz50pH4ZkNWEnmcc0pQ9GZRWfkQ202j0eEMlqKh+GJLqnr0/Qd69h2skIe5i0irNVlTCN1SMTKL0vq7PSAzMwqRSbR88osHcqhXHW93+L62TdvNe3B+ItuSsV5p1ALz41WwVMWHE8J6J/PuArFr8/E+df7MdGLUaXflUFE9oz3EenRtQez7WOmLhKznhsbeKAzKOqYBrefdYgrsk5Ti6WgCYsQvUexi9h3iuDUR+DSgGwfGtrL668RwMQOiu7oU3DVQ1e4oFXGUxDC68fICsZbq8Zk6saTPoQZR5sEINpTH4eNM9y45mK/72/GkhGqSqEaSzHRU8DYfojWiVMY9TGAlfQBPe+pXfcKoVptIzti7sWn6E0+5kIVXUGIPzFu97vjhQNAPhW4NvM7uqwYJS3YagruyKY8Cd6v6/rmJ03Lp/ZzFcaldWh7clrYphsjXhhpjDLiDiSo10uzP1osz715v125/uV9oE6/Z45YR1u9nsGyXsJTLZ9uWG6VFRSIxebaEQ55zDE7tPLO3iutkgNCKpGqbr/7YaUlJSUlJSUlJSUlJSUlJSUlJSUlJSUlFQh/Qcj3/nHScGj+gAAAABJRU5ErkJggg==",Hefei Metro,2016,2024,184,6,238.92,411
Hohhot,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,https://upload.wikimedia.org/wikipedia/en/3/32/Hohhot_Metro_logo.png,Hohhot Metro,2019,2020,43,2,49,67.7
Hong Kong,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/188px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/HK_MTR_logo.svg/188px-HK_MTR_logo.svg.png,Mass Transit Railway,1979,2022,99,10,174.7,1770
